"","Year","Month","Address","County","State","Country","Rate","lon","lat"
"1",2011,"February","Renville County,North Dakota,USA","Renville County","North Dakota","USA",2.9,-101.6334298,48.8582263
"2",2011,"February","Williams County,North Dakota,USA","Williams County","North Dakota","USA",1.8,-103.2923954,48.432044
"3",2011,"February","Stutsman County,North Dakota,USA","Stutsman County","North Dakota","USA",4.9,-98.9909139,46.939184
"4",2011,"February","Eddy County,North Dakota,USA","Eddy County","North Dakota","USA",7.1,-98.8871816,47.6963964
"5",2011,"February","Slope County,North Dakota,USA","Slope County","North Dakota","USA",2.1,-103.5021012,46.4129398
"6",2011,"February","Emmons County,North Dakota,USA","Emmons County","North Dakota","USA",8.4,-100.2953039,46.2061318
"7",2011,"February","Traill County,North Dakota,USA","Traill County","North Dakota","USA",4,-97.1256368,47.4636775
"8",2011,"February","Griggs County,North Dakota,USA","Griggs County","North Dakota","USA",3.9,-98.2554295,47.3876664
"9",2011,"February","Morton County,North Dakota,USA","Morton County","North Dakota","USA",5.5,-101.1621736,46.6683872
"10",2011,"February","Towner County,North Dakota,USA","Towner County","North Dakota","USA",3.4,-99.2761104,48.7485974
"11",2011,"February","Dickey County,North Dakota,USA","Dickey County","North Dakota","USA",3.6,-98.4554399,46.1265285
"12",2011,"February","Ramsey County,North Dakota,USA","Ramsey County","North Dakota","USA",4.9,-98.7287191,48.3076017
"13",2011,"February","Adams County,North Dakota,USA","Adams County","North Dakota","USA",3.4,-102.5179098,46.0594591
"14",2011,"February","Bowman County,North Dakota,USA","Bowman County","North Dakota","USA",2.6,-103.556038,46.0945462
"15",2011,"February","Sioux County,North Dakota,USA","Sioux County","North Dakota","USA",5.5,-101.1175392,46.0512004
"16",2011,"February","Ward County,North Dakota,USA","Ward County","North Dakota","USA",3.8,-101.5805256,48.2147451
"17",2011,"February","McLean County,North Dakota,USA","McLean County","North Dakota","USA",6.4,-101.131122,47.6185079
"18",2011,"February","Burleigh County,North Dakota,USA","Burleigh County","North Dakota","USA",4.2,-100.5049676,47.0448552
"19",2011,"February","Steele County,North Dakota,USA","Steele County","North Dakota","USA",2.8,-97.688456,47.4272265
"20",2011,"February","Cavalier County,North Dakota,USA","Cavalier County","North Dakota","USA",4.1,-98.4781106,48.8103752
"21",2011,"February","Mountrail County,North Dakota,USA","Mountrail County","North Dakota","USA",2.5,-102.326433,48.2169859
"22",2011,"February","Bottineau County,North Dakota,USA","Bottineau County","North Dakota","USA",4.4,-100.7486336,48.7820733
"23",2011,"February","Ransom County,North Dakota,USA","Ransom County","North Dakota","USA",4.8,-97.6257919,46.4937656
"24",2011,"February","Logan County,North Dakota,USA","Logan County","North Dakota","USA",4,-99.5270202,46.5056729
"25",2011,"February","Mercer County,North Dakota,USA","Mercer County","North Dakota","USA",7,-101.8628783,47.385292
"26",2011,"February","Foster County,North Dakota,USA","Foster County","North Dakota","USA",4.4,-98.874618,47.4991972
"27",2011,"February","McHenry County,North Dakota,USA","McHenry County","North Dakota","USA",6.4,-100.7008406,48.3814671
"28",2011,"February","Cass County,North Dakota,USA","Cass County","North Dakota","USA",3.9,-97.1215579,47.071168
"29",2011,"February","Benson County,North Dakota,USA","Benson County","North Dakota","USA",7.9,-99.4648442,48.088634
"30",2011,"February","Nelson County,North Dakota,USA","Nelson County","North Dakota","USA",5.5,-98.1259898,47.9519514
"31",2011,"February","McKenzie County,North Dakota,USA","McKenzie County","North Dakota","USA",2.2,-103.4122495,47.7714179
"32",2011,"February","Pierce County,North Dakota,USA","Pierce County","North Dakota","USA",6.4,-100.0575335,48.0379438
"33",2011,"February","Billings County,North Dakota,USA","Billings County","North Dakota","USA",4.9,-103.3906121,47.0560305
"34",2011,"February","Golden Valley County,North Dakota,USA","Golden Valley County","North Dakota","USA",3,-103.7914154,47.0077031
"35",2011,"February","Divide County,North Dakota,USA","Divide County","North Dakota","USA",2.3,-103.582951,48.8056154
"36",2011,"February","Stark County,North Dakota,USA","Stark County","North Dakota","USA",2.7,-102.6554727,46.8250004
"37",2011,"February","Dunn County,North Dakota,USA","Dunn County","North Dakota","USA",2.9,-102.72602,47.2121625
"38",2011,"February","Rolette County,North Dakota,USA","Rolette County","North Dakota","USA",11.5,-99.8791166,48.6981517
"39",2011,"February","Burke County,North Dakota,USA","Burke County","North Dakota","USA",2.6,-102.4633691,48.7704377
"40",2011,"February","McIntosh County,North Dakota,USA","McIntosh County","North Dakota","USA",4.5,-99.376592,46.054323
"41",2011,"February","Barnes County,North Dakota,USA","Barnes County","North Dakota","USA",4.5,-98.1222338,46.926176
"42",2011,"February","Sheridan County,North Dakota,USA","Sheridan County","North Dakota","USA",5.3,-100.2844016,47.5391971
"43",2011,"February","Kidder County,North Dakota,USA","Kidder County","North Dakota","USA",7.3,-99.7506856,46.8766313
"44",2011,"February","Sargent County,North Dakota,USA","Sargent County","North Dakota","USA",4.1,-97.6152418,46.1089195
"45",2011,"February","Richland County,North Dakota,USA","Richland County","North Dakota","USA",4.5,-96.8958656,46.1546779
"46",2011,"February","Lamoure County,North Dakota,USA","Lamoure County","North Dakota","USA",3.9,-98.5457951,46.4284976
"47",2011,"February","Walsh County,North Dakota,USA","Walsh County","North Dakota","USA",5.7,-97.7528872,48.3777874
"48",2011,"February","Wells County,North Dakota,USA","Wells County","North Dakota","USA",5.9,-99.5751845,47.5217126
"49",2011,"February","Oliver County,North Dakota,USA","Oliver County","North Dakota","USA",7.3,-101.342985,47.1217918
"50",2011,"February","Grant County,North Dakota,USA","Grant County","North Dakota","USA",4.2,-101.5535564,46.3951108
"51",2011,"February","Grand Forks County,North Dakota,USA","Grand Forks County","North Dakota","USA",4.2,-97.3594525,48.0037819
"52",2011,"February","Hettinger County,North Dakota,USA","Hettinger County","North Dakota","USA",3.5,-102.4557007,46.3771987
"53",2011,"February","Pembina County,North Dakota,USA","Pembina County","North Dakota","USA",8,-97.4487964,48.7199939
"54",2011,"October","Renville County,North Dakota,USA","Renville County","North Dakota","USA",2.5,-101.6334298,48.8582263
"55",2011,"October","Williams County,North Dakota,USA","Williams County","North Dakota","USA",1.2,-103.2923954,48.432044
"56",2011,"October","Stutsman County,North Dakota,USA","Stutsman County","North Dakota","USA",2.9,-98.9909139,46.939184
"57",2011,"October","Eddy County,North Dakota,USA","Eddy County","North Dakota","USA",3.1,-98.8871816,47.6963964
"58",2011,"October","Slope County,North Dakota,USA","Slope County","North Dakota","USA",2,-103.5021012,46.4129398
"59",2011,"October","Emmons County,North Dakota,USA","Emmons County","North Dakota","USA",4.5,-100.2953039,46.2061318
"60",2011,"October","Traill County,North Dakota,USA","Traill County","North Dakota","USA",2.6,-97.1256368,47.4636775
"61",2011,"October","Griggs County,North Dakota,USA","Griggs County","North Dakota","USA",2.2,-98.2554295,47.3876664
"62",2011,"October","Morton County,North Dakota,USA","Morton County","North Dakota","USA",2.9,-101.1621736,46.6683872
"63",2011,"October","Towner County,North Dakota,USA","Towner County","North Dakota","USA",2.1,-99.2761104,48.7485974
"64",2011,"October","Dickey County,North Dakota,USA","Dickey County","North Dakota","USA",2.4,-98.4554399,46.1265285
"65",2011,"October","Ramsey County,North Dakota,USA","Ramsey County","North Dakota","USA",2.9,-98.7287191,48.3076017
"66",2011,"October","Adams County,North Dakota,USA","Adams County","North Dakota","USA",2.4,-102.5179098,46.0594591
"67",2011,"October","Bowman County,North Dakota,USA","Bowman County","North Dakota","USA",1.9,-103.556038,46.0945462
"68",2011,"October","Sioux County,North Dakota,USA","Sioux County","North Dakota","USA",4.3,-101.1175392,46.0512004
"69",2011,"October","Ward County,North Dakota,USA","Ward County","North Dakota","USA",2.6,-101.5805256,48.2147451
"70",2011,"October","McLean County,North Dakota,USA","McLean County","North Dakota","USA",3.5,-101.131122,47.6185079
"71",2011,"October","Burleigh County,North Dakota,USA","Burleigh County","North Dakota","USA",2.5,-100.5049676,47.0448552
"72",2011,"October","Steele County,North Dakota,USA","Steele County","North Dakota","USA",2.2,-97.688456,47.4272265
"73",2011,"October","Cavalier County,North Dakota,USA","Cavalier County","North Dakota","USA",2.2,-98.4781106,48.8103752
"74",2011,"October","Mountrail County,North Dakota,USA","Mountrail County","North Dakota","USA",1.6,-102.326433,48.2169859
"75",2011,"October","Bottineau County,North Dakota,USA","Bottineau County","North Dakota","USA",3,-100.7486336,48.7820733
"76",2011,"October","Ransom County,North Dakota,USA","Ransom County","North Dakota","USA",2.8,-97.6257919,46.4937656
"77",2011,"October","Logan County,North Dakota,USA","Logan County","North Dakota","USA",2.4,-99.5270202,46.5056729
"78",2011,"October","Mercer County,North Dakota,USA","Mercer County","North Dakota","USA",3.9,-101.8628783,47.385292
"79",2011,"October","Foster County,North Dakota,USA","Foster County","North Dakota","USA",2.3,-98.874618,47.4991972
"80",2011,"October","McHenry County,North Dakota,USA","McHenry County","North Dakota","USA",3.3,-100.7008406,48.3814671
"81",2011,"October","Cass County,North Dakota,USA","Cass County","North Dakota","USA",2.7,-97.1215579,47.071168
"82",2011,"October","Benson County,North Dakota,USA","Benson County","North Dakota","USA",4.3,-99.4648442,48.088634
"83",2011,"October","Nelson County,North Dakota,USA","Nelson County","North Dakota","USA",3.5,-98.1259898,47.9519514
"84",2011,"October","McKenzie County,North Dakota,USA","McKenzie County","North Dakota","USA",1.5,-103.4122495,47.7714179
"85",2011,"October","Pierce County,North Dakota,USA","Pierce County","North Dakota","USA",3.8,-100.0575335,48.0379438
"86",2011,"October","Billings County,North Dakota,USA","Billings County","North Dakota","USA",3.1,-103.3906121,47.0560305
"87",2011,"October","Golden Valley County,North Dakota,USA","Golden Valley County","North Dakota","USA",2.1,-103.7914154,47.0077031
"88",2011,"October","Divide County,North Dakota,USA","Divide County","North Dakota","USA",1.4,-103.582951,48.8056154
"89",2011,"October","Stark County,North Dakota,USA","Stark County","North Dakota","USA",1.8,-102.6554727,46.8250004
"90",2011,"October","Dunn County,North Dakota,USA","Dunn County","North Dakota","USA",1.6,-102.72602,47.2121625
"91",2011,"October","Rolette County,North Dakota,USA","Rolette County","North Dakota","USA",7.6,-99.8791166,48.6981517
"92",2011,"October","Burke County,North Dakota,USA","Burke County","North Dakota","USA",1.9,-102.4633691,48.7704377
"93",2011,"October","McIntosh County,North Dakota,USA","McIntosh County","North Dakota","USA",3.1,-99.376592,46.054323
"94",2011,"October","Barnes County,North Dakota,USA","Barnes County","North Dakota","USA",3,-98.1222338,46.926176
"95",2011,"October","Sheridan County,North Dakota,USA","Sheridan County","North Dakota","USA",3.2,-100.2844016,47.5391971
"96",2011,"October","Kidder County,North Dakota,USA","Kidder County","North Dakota","USA",3.5,-99.7506856,46.8766313
"97",2011,"October","Sargent County,North Dakota,USA","Sargent County","North Dakota","USA",2.3,-97.6152418,46.1089195
"98",2011,"October","Richland County,North Dakota,USA","Richland County","North Dakota","USA",2.9,-96.8958656,46.1546779
"99",2011,"October","Lamoure County,North Dakota,USA","Lamoure County","North Dakota","USA",2.2,-98.5457951,46.4284976
"100",2011,"October","Walsh County,North Dakota,USA","Walsh County","North Dakota","USA",3.7,-97.7528872,48.3777874
"101",2011,"October","Wells County,North Dakota,USA","Wells County","North Dakota","USA",3.3,-99.5751845,47.5217126
"102",2011,"October","Oliver County,North Dakota,USA","Oliver County","North Dakota","USA",4.2,-101.342985,47.1217918
"103",2011,"October","Grant County,North Dakota,USA","Grant County","North Dakota","USA",2.5,-101.5535564,46.3951108
"104",2011,"October","Grand Forks County,North Dakota,USA","Grand Forks County","North Dakota","USA",3,-97.3594525,48.0037819
"105",2011,"October","Hettinger County,North Dakota,USA","Hettinger County","North Dakota","USA",2.2,-102.4557007,46.3771987
"106",2011,"October","Pembina County,North Dakota,USA","Pembina County","North Dakota","USA",4.6,-97.4487964,48.7199939
"107",2011,"March","Renville County,North Dakota,USA","Renville County","North Dakota","USA",2.9,-101.6334298,48.8582263
"108",2011,"March","Williams County,North Dakota,USA","Williams County","North Dakota","USA",1.6,-103.2923954,48.432044
"109",2011,"March","Stutsman County,North Dakota,USA","Stutsman County","North Dakota","USA",4.8,-98.9909139,46.939184
"110",2011,"March","Eddy County,North Dakota,USA","Eddy County","North Dakota","USA",7,-98.8871816,47.6963964
"111",2011,"March","Slope County,North Dakota,USA","Slope County","North Dakota","USA",2.1,-103.5021012,46.4129398
"112",2011,"March","Emmons County,North Dakota,USA","Emmons County","North Dakota","USA",8.2,-100.2953039,46.2061318
"113",2011,"March","Traill County,North Dakota,USA","Traill County","North Dakota","USA",3.9,-97.1256368,47.4636775
